      Time timeStamp  senderId    seqNum   msgSize
     0.119     0.116         1        11        64
     0.176     0.172         1        15        64
     0.299     0.298         1        28        64
     0.305     0.304         1        30        64
     0.398     0.397         1        41        64
     0.514     0.509         1        56        64
     0.538     0.537         1        60        64
     0.738     0.734         1        77        64
     0.785     0.783         1        83        64
     1.180     1.179         1       126        64
     1.203     1.202         1       128        64
     1.502     1.501         1       155        64
     1.720     1.719         1       168        64
     2.172     2.171         1       216        64
     2.240     2.238         1       220        64
     2.271     2.266         1       224        64
     2.382     2.378         1       238        64
     2.470     2.469         1       249        64
     2.493     2.492         1       253        64
     2.521     2.520         1       255        64
     2.648     2.646         1       272        64
     2.670     2.666         1       278        64
     2.723     2.722         1       281        64
     3.291     3.288         1       329        64
     3.579     3.578         1       355        64
     3.937     3.936         1       383        64
     4.554     4.553         1       451        64
     4.853     4.852         1       488        64
     4.952     4.951         1       496        64
     5.246     5.244         1       525        64
     5.258     5.257         1       528        64
     5.455     5.454         1       546        64
     5.583     5.579         1       559        64
     6.035     6.034         1       596        64
     6.042     6.038         1       598        64
     6.188     6.187         1       618        64
     6.290     6.289         1       629        64
     6.382     6.381         1       636        64
     6.401     6.399         1       640        64
     6.831     6.830         1       680        64
     7.155     7.149         1       708        64
     7.220     7.219         1       711        64
     7.318     7.313         1       721        64
     7.394     7.392         1       726        64
     7.493     7.492         1       733        64
     7.502     7.501         1       734        64
     7.649     7.643         1       750        64
     7.652     7.648         1       752        64
     7.751     7.750         1       763        64
     7.791     7.787         1       767        64
     7.903     7.897         1       787        64
     7.931     7.930         1       790        64
     7.978     7.977         1       794        64
     8.132     8.131         1       813        64
     8.188     8.187         1       819        64
     8.258     8.257         1       826        64
     8.286     8.284         1       829        64
     8.456     8.455         1       846        64
     8.579     8.578         1       860        64
     8.681     8.680         1       866        64
     8.906     8.905         1       882        64
     9.282     9.281         1       920        64
     9.369     9.356         1       929        64
     9.624     9.623         1       951        64
     9.646     9.645         1       954        64
     9.745     9.744         1       963        64
     9.974     9.973         1       995        64
    10.265    10.264         1      1028        64
    10.399    10.398         1      1037        64
    10.579    10.578         1      1047        64
    10.776    10.774         1      1070        64
    10.852    10.849         1      1080        64
    10.905    10.903         1      1086        64
    11.640    11.639         1      1165        64
    11.842    11.840         1      1184        64
    11.974    11.973         1      1201        64
    12.113    12.112         1      1213        64
    12.133    12.132         1      1215        64
    12.161    12.160         1      1221        64
    12.273    12.267         1      1232        64
    12.619    12.618         1      1262        64
    12.753    12.752         1      1275        64
    12.827    12.826         1      1282        64
    13.051    13.050         1      1299        64
    13.060    13.058         1      1301        64
    13.086    13.085         1      1303        64
    13.189    13.188         1      1312        64
    13.211    13.210         1      1314        64
    13.270    13.267         1      1320        64
    13.434    13.432         1      1333        64
    13.590    13.589         1      1348        64
    13.887    13.886         1      1369        64
    14.100    14.099         1      1396        64
    15.032    15.031         1      1478        64
    15.035    15.032         1      1479        64
    15.051    15.050         1      1481        64
    15.099    15.098         1      1488        64
    15.298    15.296         1      1510        64
    15.559    15.558         1      1536        64
    15.962    15.958         1      1575        64
    16.032    16.031         1      1584        64
    16.064    16.063         1      1591        64
    16.067    16.066         1      1592        64
    16.114    16.113         1      1597        64
    16.455    16.454         1      1628        64
    16.480    16.479         1      1633        64
    16.589    16.588         1      1644        64
    16.749    16.748         1      1656        64
    17.480    17.479         1      1718        64
    17.570    17.569         1      1728        64
    17.668    17.667         1      1741        64
    17.852    17.850         1      1764        64
    17.953    17.952         1      1775        64
    18.310    18.309         1      1812        64
    18.492    18.491         1      1831        64
    18.550    18.548         1      1842        64
    18.718    18.717         1      1858        64
    18.759    18.758         1      1864        64
    18.909    18.908         1      1879        64
    19.011    19.009         1      1887        64
    19.121    19.120         1      1900        64
    19.223    19.222         1      1908        64
    19.338    19.337         1      1922        64
    19.402    19.401         1      1931        64
    19.595    19.594         1      1956        64
    19.676    19.675         1      1963        64
    19.767    19.766         1      1976        64
    19.890    19.889         1      1996        64
    19.993    19.991         1      2006        64
    20.432    20.431         1      2052        64
    20.558    20.552         1      2067        64
    20.754    20.753         1      2093        64
    21.282    21.281         1      2158        64
    21.468    21.464         1      2173        64
    21.591    21.590         1      2187        64
    22.165    22.164         1      2255        64
    22.323    22.319         1      2271        64
    22.383    22.379         1      2280        64
    22.422    22.421         1      2282        64
    22.469    22.467         1      2289        64
    23.383    23.382         1      2393        64
    23.463    23.462         1      2401        64
    24.368    24.367         1      2489        64
    24.402    24.400         1      2491        64
    24.424    24.423         1      2494        64
    24.463    24.462         1      2498        64
    24.485    24.484         1      2500        64
    25.082    25.081         1      2561        64
    25.185    25.184         1      2566        64
    25.504    25.503         1      2600        64
    25.681    25.680         1      2619        64
    26.341    26.340         1      2682        64
    26.466    26.465         1      2701        64
    26.571    26.569         1      2716        64
